Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2018,2,1,0,25,ENG - Streets,Streets Operations,Pothole - Repair,24##,VINE ST,Kitsilano
2018,2,1,0,35,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,44##,W 11TH AV,West Point Grey
2018,2,1,3,49,DBL - Inspections,Property Use,PUI Noise Complaint Case,15##,E 5TH AV,Grandview-Woodland
2018,2,1,5,24,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,23##,WINDSOR ST,Mount Pleasant
2018,2,1,5,31,DBL - Inspections,Property Use,PUI Noise Complaint Case,1##,W 1ST AV,Mount Pleasant
2018,2,1,6,13,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,10##,NELSON ST,West End
2018,2,1,7,16,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,42##,KNIGHT ST,Kensington-Cedar Cottage
2018,2,1,7,27,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,35##,TRIUMPH ST,Hastings-Sunrise
2018,2,1,7,31,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,75##,FRASER ST,Sunset
2018,2,1,7,38,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,23##,HERMON DRIVE,Hastings-Sunrise
2018,2,1,7,53,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,21##,E 34TH AV,Kensington-Cedar Cottage
2018,2,1,8,13,ENG - Streets,Streets Operations,Pothole - Repair,27##,W 11TH AV,Kitsilano
2018,2,1,8,15,ENG - Streets,Streets Operations,Sidewalk - Repair,12##,STATION ST,Strathcona
2018,2,1,8,17,ENG - Streets,Streets Operations,Sidewalk - Repair,37##,W 23RD AV,Dunbar-Southlands
2018,2,1,8,27,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,44##,W 10TH AV,West Point Grey
2018,2,1,8,32,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,3##,E KING EDWARD AV,Riley Park
2018,2,1,8,36,ENG - Streets,Streets Operations,Homelessness/Transient Issue,2##,E 4TH AV,Mount Pleasant
2018,2,1,8,41,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,16##,BEACH AV,West End
2018,2,1,8,42,ENG - Streets,Streets Operations,Pothole - Repair,9##,W 16TH AV,Fairview
2018,2,1,8,43,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,Intersection,E 54TH AV and LANCASTER ST,Killarney
2018,2,1,8,43,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,3000, - 3099 E 54TH AV,Killarney
2018,2,1,8,59,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,47##,INVERNESS ST,Kensington-Cedar Cottage
2018,2,1,9,9,DBL - Inspections,Property Use,PUI Noise Complaint Case,1##,E BROADWAY,Mount Pleasant
2018,2,1,9,12,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,Intersection,E 54TH AV and LANCASTER ST,Killarney
2018,2,1,9,12,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,29##,E 54TH AV,Killarney
2018,2,1,9,14,ENG - Streets,Streets Operations,Pothole - Repair,45##,WINDSOR ST,Kensington-Cedar Cottage
2018,2,1,9,33,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,36##,CAMBIE ST,Riley Park
2018,2,1,9,37,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,4##,W 18TH AV,Riley Park
2018,2,1,9,39,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,30##,E KENT AV NORTH,Killarney
2018,2,1,9,42,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,32##,NEW BRIGHTON ROAD,Hastings-Sunrise
2018,2,1,9,43,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,44##,MAGNOLIA ST,Arbutus-Ridge
2018,2,1,9,46,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,44##,MAGNOLIA ST,Arbutus-Ridge
2018,2,1,9,50,ENG - Streets,Streets Operations,Homelessness/Transient Issue,8##,W BROADWAY,Fairview
2018,2,1,9,51,ENG - Streets,Streets Operations,Pothole - Repair,23##,W 14TH AV,Kitsilano
2018,2,1,9,55,ENG - Streets,Streets Operations,Homelessness/Transient Issue,19##,W 5TH AV,Kitsilano
2018,2,1,10,1,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,11##,PACIFIC BOULEVARD,Downtown
2018,2,1,10,18,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,Intersection,ARGYLE ST and SE MARINE DRIVE,Victoria-Fraserview
